AC-No.;No.;Name;Time;State;New State;Exception;Operation
10;;10;12/15/2016 5:10 PM;C/Out;;Invalid;
10;;10;12/28/2016 7:52 PM;C/Out;;Invalid;
12;;12;12/1/2016 8:54 AM;C/In;OverTime In;FOT;
12;;12;12/1/2016 5:09 PM;C/Out;OverTime Out;FOT;
12;;12;12/1/2016 5:09 PM;C/Out;;Invalid;
12;;12;12/4/2016 9:11 AM;C/In;OverTime In;FOT;
12;;12;12/4/2016 6:51 PM;C/Out;OverTime Out;FOT;
12;;12;12/5/2016 9:44 AM;C/In;OverTime In;FOT;
12;;12;12/5/2016 6:01 PM;C/Out;OverTime Out;FOT;
12;;12;12/5/2016 6:02 PM;C/Out;;Invalid;
12;;12;12/6/2016 9:20 AM;C/In;OverTime In;FOT;
12;;12;12/6/2016 5:47 PM;C/Out;OverTime Out;FOT;
12;;12;12/7/2016 9:27 AM;C/In;OverTime In;FOT;
12;;12;12/7/2016 5:31 PM;C/Out;OverTime Out;FOT;
12;;12;12/8/2016 8:58 AM;C/In;OverTime In;FOT;
12;;12;12/8/2016 5:44 PM;C/Out;OverTime Out;FOT;
12;;12;12/11/2016 8:46 AM;C/In;OverTime In;FOT;
12;;12;12/11/2016 7:14 PM;C/Out;OverTime Out;FOT;
12;;12;12/12/2016 9:23 AM;C/In;OverTime In;FOT;
12;;12;12/12/2016 6:49 PM;C/Out;OverTime Out;FOT;
12;;12;12/13/2016 12:36 PM;C/In;OverTime In;FOT;
12;;12;12/13/2016 6:53 PM;C/Out;OverTime Out;FOT;
12;;12;12/14/2016 9:51 AM;C/In;OverTime In;FOT;
12;;12;12/14/2016 6:15 PM;C/Out;OverTime Out;FOT;
12;;12;12/15/2016 9:17 AM;C/In;OverTime In;FOT;
12;;12;12/15/2016 7:20 PM;C/Out;OverTime Out;FOT;
12;;12;12/18/2016 9:37 AM;C/In;OverTime In;FOT;
12;;12;12/18/2016 7:00 PM;C/Out;OverTime Out;FOT;
12;;12;12/19/2016 9:12 AM;C/In;OverTime In;FOT;
12;;12;12/19/2016 5:44 PM;C/Out;OverTime Out;FOT;
12;;12;12/20/2016 9:36 AM;C/In;OverTime In;FOT;
12;;12;12/20/2016 6:24 PM;C/Out;OverTime Out;FOT;
12;;12;12/21/2016 9:39 AM;C/In;OverTime In;FOT;
12;;12;12/21/2016 5:55 PM;C/Out;OverTime Out;FOT;
12;;12;12/22/2016 9:41 AM;C/In;OverTime In;FOT;
12;;12;12/22/2016 7:11 PM;C/Out;OverTime Out;FOT;
12;;12;12/25/2016 9:03 AM;C/In;OverTime In;FOT;
12;;12;12/25/2016 6:56 PM;C/Out;OverTime Out;FOT;
12;;12;12/26/2016 9:22 AM;C/In;OverTime In;FOT;
12;;12;12/26/2016 6:45 PM;C/Out;OverTime Out;FOT;
12;;12;12/27/2016 9:19 AM;C/In;OverTime In;FOT;
12;;12;12/27/2016 5:21 PM;C/Out;OverTime Out;FOT;
12;;12;12/28/2016 9:55 AM;C/In;OverTime In;FOT;
12;;12;12/28/2016 5:14 PM;C/Out;OverTime Out;FOT;
12;;12;12/29/2016 9:20 AM;C/In;OverTime In;FOT;
12;;12;12/29/2016 6:34 PM;C/Out;OverTime Out;FOT;
13;;13;12/1/2016 9:26 AM;C/In;OverTime In;FOT;
13;;13;12/1/2016 4:56 PM;C/Out;OverTime Out;FOT;
13;;13;12/4/2016 9:16 AM;C/In;OverTime In;FOT;
13;;13;12/4/2016 5:21 PM;C/Out;OverTime Out;FOT;
13;;13;12/5/2016 9:24 AM;C/In;OverTime In;FOT;
13;;13;12/5/2016 5:13 PM;C/Out;OverTime Out;FOT;
13;;13;12/6/2016 9:14 AM;C/In;OverTime In;FOT;
13;;13;12/6/2016 5:11 PM;C/Out;OverTime Out;FOT;
13;;13;12/7/2016 9:28 AM;C/In;OverTime In;FOT;
13;;13;12/7/2016 5:08 PM;C/Out;OverTime Out;FOT;
13;;13;12/8/2016 9:08 AM;C/In;OverTime In;FOT;
13;;13;12/8/2016 4:59 PM;C/Out;OverTime Out;FOT;
13;;13;12/13/2016 8:59 AM;C/In;OverTime In;FOT;
13;;13;12/13/2016 5:14 PM;C/Out;OverTime Out;FOT;
13;;13;12/14/2016 9:22 AM;C/In;OverTime In;FOT;
13;;13;12/14/2016 5:09 PM;C/Out;OverTime Out;FOT;
13;;13;12/15/2016 9:09 AM;C/In;OverTime In;FOT;
13;;13;12/15/2016 4:46 PM;C/Out;OverTime Out;FOT;
13;;13;12/18/2016 9:10 AM;C/In;OverTime In;FOT;
13;;13;12/18/2016 5:13 PM;C/Out;OverTime Out;FOT;
13;;13;12/19/2016 9:06 AM;C/In;OverTime In;FOT;
13;;13;12/19/2016 5:16 PM;C/Out;OverTime Out;FOT;
13;;13;12/20/2016 9:40 AM;C/In;OverTime In;FOT;
13;;13;12/20/2016 5:17 PM;C/Out;OverTime Out;FOT;
13;;13;12/21/2016 9:17 AM;C/In;OverTime In;FOT;
13;;13;12/21/2016 5:09 PM;C/Out;OverTime Out;FOT;
13;;13;12/22/2016 9:39 AM;C/In;OverTime In;FOT;
13;;13;12/22/2016 4:56 PM;C/Out;OverTime Out;FOT;
13;;13;12/25/2016 9:23 AM;C/In;OverTime In;FOT;
13;;13;12/25/2016 5:14 PM;C/Out;OverTime Out;FOT;
13;;13;12/26/2016 9:55 AM;C/In;;Invalid;
13;;13;12/27/2016 9:13 AM;C/In;OverTime In;FOT;
13;;13;12/27/2016 5:14 PM;C/Out;OverTime Out;FOT;
13;;13;12/28/2016 9:11 AM;C/In;OverTime In;FOT;
13;;13;12/28/2016 5:14 PM;C/Out;OverTime Out;FOT;
13;;13;12/29/2016 9:14 AM;C/In;OverTime In;FOT;
13;;13;12/29/2016 4:13 PM;C/Out;OverTime Out;FOT;
30;;30;12/1/2016 9:08 AM;C/In;OverTime In;FOT;
30;;30;12/1/2016 5:09 PM;C/Out;OverTime Out;FOT;
30;;30;12/4/2016 10:23 AM;C/In;OverTime In;FOT;
30;;30;12/4/2016 5:59 PM;C/Out;OverTime Out;FOT;
30;;30;12/5/2016 9:09 AM;C/In;OverTime In;FOT;
30;;30;12/5/2016 5:11 PM;C/Out;OverTime Out;FOT;
30;;30;12/6/2016 9:10 AM;C/In;OverTime In;FOT;
30;;30;12/6/2016 5:11 PM;C/Out;OverTime Out;FOT;
30;;30;12/7/2016 8:48 AM;C/In;OverTime In;FOT;
30;;30;12/7/2016 5:10 PM;C/Out;OverTime Out;FOT;
30;;30;12/8/2016 9:40 AM;C/In;OverTime In;FOT;
30;;30;12/8/2016 4:33 PM;C/Out;OverTime Out;FOT;
30;;30;12/12/2016 10:28 AM;C/In;OverTime In;FOT;
30;;30;12/12/2016 6:08 PM;C/Out;OverTime Out;FOT;
30;;30;12/13/2016 8:59 AM;C/In;OverTime In;FOT;
30;;30;12/13/2016 5:14 PM;C/Out;OverTime Out;FOT;
30;;30;12/14/2016 8:51 AM;C/In;OverTime In;FOT;
30;;30;12/14/2016 5:09 PM;C/Out;OverTime Out;FOT;
30;;30;12/15/2016 9:07 AM;C/In;OverTime In;FOT;
30;;30;12/15/2016 6:10 PM;C/Out;OverTime Out;FOT;
30;;30;12/18/2016 9:24 AM;C/In;OverTime In;FOT;
30;;30;12/18/2016 5:36 PM;C/Out;OverTime Out;FOT;
30;;30;12/19/2016 9:10 AM;C/In;OverTime In;FOT;
30;;30;12/19/2016 5:14 PM;C/Out;OverTime Out;FOT;
30;;30;12/20/2016 8:45 AM;C/In;OverTime In;FOT;
30;;30;12/20/2016 5:18 PM;C/Out;OverTime Out;FOT;
30;;30;12/21/2016 8:48 AM;C/In;OverTime In;FOT;
30;;30;12/21/2016 5:04 PM;C/Out;OverTime Out;FOT;
30;;30;12/22/2016 9:07 AM;C/In;OverTime In;FOT;
30;;30;12/22/2016 5:06 PM;C/Out;OverTime Out;FOT;
30;;30;12/25/2016 10:22 AM;C/In;OverTime In;FOT;
30;;30;12/25/2016 5:59 PM;C/Out;OverTime Out;FOT;
30;;30;12/26/2016 8:48 AM;C/In;OverTime In;FOT;
30;;30;12/26/2016 4:36 PM;C/Out;OverTime Out;FOT;
30;;30;12/27/2016 9:34 AM;C/In;OverTime In;FOT;
30;;30;12/27/2016 5:14 PM;C/Out;OverTime Out;FOT;
30;;30;12/28/2016 9:05 AM;C/In;OverTime In;FOT;
30;;30;12/28/2016 4:48 PM;C/Out;OverTime Out;FOT;
30;;30;12/29/2016 8:51 AM;C/In;;Invalid;
36;;36;12/1/2016 11:02 AM;C/In;OverTime In;FOT;
36;;36;12/1/2016 6:33 PM;C/Out;OverTime Out;FOT;
36;;36;12/1/2016 6:33 PM;C/Out;;Invalid;
36;;36;12/4/2016 8:45 AM;C/In;OverTime In;FOT;
36;;36;12/4/2016 6:06 PM;C/Out;OverTime Out;FOT;
36;;36;12/4/2016 6:42 PM;C/Out;;Invalid;
36;;36;12/5/2016 9:31 AM;C/In;OverTime In;FOT;
36;;36;12/5/2016 7:22 PM;C/Out;OverTime Out;FOT;
36;;36;12/5/2016 7:22 PM;C/Out;;Invalid;
36;;36;12/6/2016 9:08 AM;C/In;OverTime In;FOT;
36;;36;12/6/2016 6:27 PM;C/Out;OverTime Out;FOT;
36;;36;12/7/2016 8:57 AM;C/In;OverTime In;FOT;
36;;36;12/7/2016 4:34 PM;C/Out;OverTime Out;FOT;
36;;36;12/11/2016 8:51 AM;C/In;;Repeat;
36;;36;12/11/2016 8:51 AM;C/In;OverTime In;FOT;
36;;36;12/11/2016 5:16 PM;C/Out;OverTime Out;FOT;
36;;36;12/14/2016 9:59 AM;C/In;;Invalid;
36;;36;12/14/2016 10:08 AM;C/In;OverTime In;FOT;
36;;36;12/14/2016 7:17 PM;C/Out;OverTime Out;FOT;
36;;36;12/15/2016 12:37 PM;C/In;OverTime In;FOT;
36;;36;12/15/2016 9:11 PM;C/Out;OverTime Out;FOT;
36;;36;12/18/2016 9:36 AM;C/In;OverTime In;FOT;
36;;36;12/18/2016 4:46 PM;C/Out;OverTime Out;FOT;
36;;36;12/19/2016 10:17 AM;C/In;OverTime In;FOT;
36;;36;12/19/2016 5:21 PM;C/Out;OverTime Out;FOT;
36;;36;12/20/2016 11:37 AM;C/In;OverTime In;FOT;
36;;36;12/20/2016 4:25 PM;C/Out;OverTime Out;FOT;
36;;36;12/21/2016 10:05 AM;C/In;OverTime In;FOT;
36;;36;12/21/2016 6:34 PM;C/Out;OverTime Out;FOT;
36;;36;12/22/2016 11:22 AM;C/In;OverTime In;FOT;
36;;36;12/22/2016 4:30 PM;C/Out;OverTime Out;FOT;
36;;36;12/26/2016 9:25 AM;C/In;OverTime In;FOT;
36;;36;12/26/2016 7:07 PM;C/Out;OverTime Out;FOT;
36;;36;12/26/2016 7:34 PM;C/Out;;Invalid;
36;;36;12/27/2016 9:13 AM;C/In;OverTime In;FOT;
36;;36;12/27/2016 4:50 PM;C/Out;OverTime Out;FOT;
36;;36;12/28/2016 11:07 AM;C/In;OverTime In;FOT;
36;;36;12/28/2016 7:05 PM;C/Out;OverTime Out;FOT;
36;;36;12/29/2016 6:22 AM;C/Out;OverTime In;FOT;
36;;36;12/29/2016 2:41 PM;C/Out;OverTime Out;FOT;
43;;43;12/1/2016 7:09 AM;C/In;OverTime In;FOT;
43;;43;12/1/2016 4:01 PM;C/Out;OverTime Out;FOT;
43;;43;12/4/2016 7:19 AM;C/In;OverTime In;FOT;
43;;43;12/4/2016 4:21 PM;C/In;OverTime Out;FOT;
43;;43;12/5/2016 7:02 AM;C/In;;Repeat;
43;;43;12/5/2016 7:02 AM;C/In;OverTime In;FOT;
43;;43;12/5/2016 4:16 PM;C/Out;OverTime Out;FOT;
43;;43;12/6/2016 7:07 AM;C/In;;Repeat;
43;;43;12/6/2016 7:07 AM;C/In;OverTime In;FOT;
43;;43;12/6/2016 4:25 PM;C/In;OverTime Out;FOT;
43;;43;12/6/2016 4:25 PM;C/Out;;Repeat;
43;;43;12/6/2016 4:26 PM;C/Out;;Invalid;
43;;43;12/7/2016 7:31 AM;C/In;OverTime In;FOT;
43;;43;12/7/2016 1:11 PM;C/Out;OverTime Out;FOT;
43;;43;12/12/2016 7:26 AM;C/In;;Repeat;
43;;43;12/12/2016 7:26 AM;C/In;OverTime In;FOT;
43;;43;12/12/2016 4:21 PM;C/Out;OverTime Out;FOT;
43;;43;12/13/2016 8:15 AM;C/In;OverTime In;FOT;
43;;43;12/13/2016 4:44 PM;C/Out;OverTime Out;FOT;
43;;43;12/14/2016 7:19 AM;C/In;OverTime In;FOT;
43;;43;12/14/2016 5:04 PM;C/Out;OverTime Out;FOT;
43;;43;12/15/2016 7:14 AM;C/In;;Repeat;
43;;43;12/15/2016 7:14 AM;C/In;;Repeat;
43;;43;12/15/2016 7:14 AM;C/In;OverTime In;FOT;
43;;43;12/15/2016 2:31 PM;C/Out;OverTime Out;FOT;
43;;43;12/18/2016 7:32 AM;C/In;OverTime In;FOT;
43;;43;12/18/2016 5:20 PM;C/Out;OverTime Out;FOT;
43;;43;12/19/2016 7:25 AM;C/In;;Repeat;
43;;43;12/19/2016 7:25 AM;C/In;OverTime In;FOT;
43;;43;12/19/2016 3:16 PM;C/Out;OverTime Out;FOT;
43;;43;12/20/2016 7:17 AM;C/In;OverTime In;FOT;
43;;43;12/20/2016 5:45 PM;C/Out;OverTime Out;FOT;
43;;43;12/21/2016 7:28 AM;C/In;OverTime In;FOT;
43;;43;12/21/2016 4:59 PM;C/Out;OverTime Out;FOT;
43;;43;12/22/2016 7:25 AM;C/In;OverTime In;FOT;
43;;43;12/22/2016 4:44 PM;C/Out;OverTime Out;FOT;
43;;43;12/25/2016 8:01 AM;C/In;OverTime In;FOT;
43;;43;12/25/2016 5:25 PM;C/Out;OverTime Out;FOT;
43;;43;12/26/2016 7:32 AM;C/In;OverTime In;FOT;
43;;43;12/26/2016 6:08 PM;C/Out;OverTime Out;FOT;
43;;43;12/27/2016 7:55 AM;C/In;OverTime In;FOT;
43;;43;12/27/2016 5:07 PM;C/Out;OverTime Out;FOT;
43;;43;12/28/2016 7:57 AM;C/In;OverTime In;FOT;
43;;43;12/28/2016 5:04 PM;C/Out;OverTime Out;FOT;
43;;43;12/29/2016 7:56 AM;C/Out;OverTime In;FOT;
43;;43;12/29/2016 5:00 PM;C/Out;OverTime Out;FOT;
46;;46;12/1/2016 8:12 AM;C/In;OverTime In;FOT;
46;;46;12/1/2016 4:04 PM;C/Out;OverTime Out;FOT;
46;;46;12/4/2016 11:52 AM;C/In;OverTime In;FOT;
46;;46;12/4/2016 5:20 PM;C/In;OverTime Out;FOT;
46;;46;12/5/2016 11:41 AM;C/In;OverTime In;FOT;
46;;46;12/5/2016 6:33 PM;C/Out;OverTime Out;FOT;
46;;46;12/6/2016 11:33 AM;C/In;OverTime In;FOT;
46;;46;12/6/2016 6:58 PM;C/Out;OverTime Out;FOT;
46;;46;12/7/2016 11:35 AM;C/In;OverTime In;FOT;
46;;46;12/7/2016 6:40 PM;C/Out;OverTime Out;FOT;
46;;46;12/8/2016 11:44 AM;C/In;OverTime In;FOT;
46;;46;12/8/2016 4:02 PM;C/Out;OverTime Out;FOT;
46;;46;12/12/2016 12:29 PM;C/In;OverTime In;FOT;
46;;46;12/12/2016 7:25 PM;C/Out;OverTime Out;FOT;
46;;46;12/13/2016 8:15 AM;C/In;OverTime In;FOT;
46;;46;12/13/2016 6:18 PM;C/Out;OverTime Out;FOT;
46;;46;12/14/2016 7:30 AM;C/In;OverTime In;FOT;
46;;46;12/14/2016 5:15 PM;C/Out;OverTime Out;FOT;
46;;46;12/19/2016 12:13 PM;C/In;OverTime In;FOT;
46;;46;12/19/2016 7:31 PM;C/Out;OverTime Out;FOT;
46;;46;12/20/2016 8:00 AM;C/In;OverTime In;FOT;
46;;46;12/20/2016 6:08 PM;C/Out;OverTime Out;FOT;
46;;46;12/21/2016 7:57 AM;C/In;OverTime In;FOT;
46;;46;12/21/2016 6:14 PM;C/Out;OverTime Out;FOT;
46;;46;12/22/2016 8:07 AM;C/In;OverTime In;FOT;
46;;46;12/22/2016 4:32 PM;C/Out;OverTime Out;FOT;
